gap_size,count,successes,success_rate,expected_rate_heuristic,shield_score,shield_primes,theoretical_boost
1,1,0,0.0,0.04825494243369465,24,"3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97",4.155678689457865
2,3424506,366995,0.10716728193789118,0.04825494243369465,0,,1.0
4,3424679,549860,0.16055811362174383,0.04825494243369465,1,3,1.5
6,6089791,613892,0.1008067436140255,0.04825494243369465,1,5,1.25
8,2695109,353996,0.13134756330820016,0.04825494243369465,1,7,1.1666666666666667
10,3484767,498098,0.14293581177737277,0.04825494243369465,1,3,1.5
12,4468957,322444,0.07215195849948881,0.04825494243369465,1,11,1.1
14,2464565,463319,0.18799220146354428,0.04825494243369465,1,13,1.0833333333333333
16,1846097,325172,0.176140256985413,0.04825494243369465,2,"3,5",1.875
18,3351032,199833,0.059633271183325016,0.04825494243369465,1,17,1.0625
20,1824043,293145,0.16071167181914023,0.04825494243369465,1,19,1.0555555555555556
22,1569679,233579,0.148806857962679,0.04825494243369465,2,"3,7",1.75
24,2367474,204279,0.08628563608301507,0.04825494243369465,1,23,1.0454545454545454
26,1119585,186161,0.1662767900606028,0.04825494243369465,1,5,1.25
28,1219243,141621,0.11615486002380165,0.04825494243369465,1,3,1.5
30,2177991,143878,0.06605996076200499,0.04825494243369465,1,29,1.0357142857142858
32,683896,85294,0.12471779334869629,0.04825494243369465,1,31,1.0333333333333334
34,719531,165725,0.23032364137194922,0.04825494243369465,2,"3,11",1.6500000000000001
36,1171524,121186,0.10344303659165327,0.04825494243369465,2,"5,7",1.4583333333333335
38,548746,65960,0.12020133176369395,0.04825494243369465,1,37,1.0277777777777777
40,648780,90738,0.13985942846573568,0.04825494243369465,2,"3,13",1.625
42,954456,60639,0.06353252533380271,0.04825494243369465,1,41,1.025
44,389634,66484,0.17063192637192853,0.04825494243369465,1,43,1.0238095238095237
46,334720,55159,0.1647914674952199,0.04825494243369465,2,"3,5",1.875
48,577247,37542,0.06503628429424492,0.04825494243369465,1,47,1.0217391304347827
50,328066,51573,0.1572031237616821,0.04825494243369465,1,7,1.1666666666666667
52,245804,31178,0.1268408976257506,0.04825494243369465,2,"3,17",1.59375
54,410754,39378,0.09586759958515316,0.04825494243369465,1,53,1.0192307692307692
56,211462,43729,0.20679365559769605,0.04825494243369465,2,"5,11",1.375
58,181948,20879,0.11475256666739948,0.04825494243369465,2,"3,19",1.5833333333333335
60,371839,23030,0.06193540752852713,0.04825494243369465,1,59,1.0172413793103448
62,115558,16323,0.14125374270928884,0.04825494243369465,1,61,1.0166666666666666
64,118951,25923,0.2179300720464729,0.04825494243369465,2,"3,7",1.75
66,216787,19861,0.09161527213347664,0.04825494243369465,2,"5,13",1.3541666666666665
68,88396,10105,0.11431512738132947,0.04825494243369465,1,67,1.0151515151515151
70,125564,16710,0.13307954509254244,0.04825494243369465,2,"3,23",1.5681818181818181
72,126663,7119,0.056204258544326285,0.04825494243369465,1,71,1.0142857142857142
74,62526,10309,0.16487541182867926,0.04825494243369465,1,73,1.0138888888888888
76,55113,12443,0.22577250376499192,0.04825494243369465,2,"3,5",1.875
78,105313,7412,0.07038067475050563,0.04825494243369465,2,"7,11",1.2833333333333334
80,53522,6536,0.1221180075482979,0.04825494243369465,1,79,1.0128205128205128
82,37982,4377,0.11523879732504871,0.04825494243369465,1,3,1.5
84,78077,7237,0.09269054907335067,0.04825494243369465,1,83,1.0121951219512195
86,27793,5047,0.18159248731695032,0.04825494243369465,2,"5,17",1.328125
88,28878,3494,0.12099175843202438,0.04825494243369465,2,"3,29",1.5535714285714288
90,58057,4791,0.08252234872625179,0.04825494243369465,1,89,1.0113636363636365
92,19282,2965,0.1537703557722228,0.04825494243369465,2,"7,13",1.2638888888888888
94,17669,3267,0.18490010753296734,0.04825494243369465,2,"3,31",1.5500000000000003
96,31078,2807,0.09032112748568119,0.04825494243369465,2,"5,19",1.3194444444444444
98,16175,2043,0.126306027820711,0.04825494243369465,1,97,1.0104166666666667
100,16900,2260,0.13372781065088757,0.04825494243369465,2,"3,11",1.6500000000000001
102,22393,1191,0.053186263564506765,0.04825494243369465,0,,1.0
104,10310,2023,0.1962172647914646,0.04825494243369465,0,,1.0
106,8719,1749,0.2005963986695722,0.04825494243369465,3,"3,5,7",2.1875
108,15459,862,0.055760398473381205,0.04825494243369465,0,,1.0
110,9065,1148,0.12664092664092663,0.04825494243369465,0,,1.0
112,7139,804,0.11262081524022972,0.04825494243369465,2,"3,37",1.5416666666666665
114,10892,843,0.07739625413147264,0.04825494243369465,0,,1.0
116,4710,852,0.18089171974522292,0.04825494243369465,2,"5,23",1.3068181818181817
118,4502,719,0.15970679697912038,0.04825494243369465,2,"3,13",1.625
120,9621,865,0.08990749402349028,0.04825494243369465,2,"7,17",1.2395833333333335
122,2975,347,0.11663865546218487,0.04825494243369465,1,11,1.1
124,3136,490,0.15625,0.04825494243369465,2,"3,41",1.5374999999999999
126,5863,503,0.08579225652396384,0.04825494243369465,1,5,1.25
128,2043,226,0.11062163485070974,0.04825494243369465,0,,1.0
130,2813,358,0.12726626377532882,0.04825494243369465,2,"3,43",1.5357142857142856
132,3510,252,0.07179487179487179,0.04825494243369465,0,,1.0
134,1487,322,0.21654337592468056,0.04825494243369465,2,"7,19",1.2314814814814816
136,1297,208,0.16037008481110254,0.04825494243369465,2,"3,5",1.875
138,2589,146,0.05639242950946311,0.04825494243369465,0,,1.0
140,1516,216,0.1424802110817942,0.04825494243369465,0,,1.0
142,953,125,0.1311647429171039,0.04825494243369465,2,"3,47",1.532608695652174
144,1555,151,0.09710610932475884,0.04825494243369465,2,"11,13",1.1916666666666667
146,668,126,0.18862275449101795,0.04825494243369465,2,"5,29",1.2946428571428572
148,724,94,0.1298342541436464,0.04825494243369465,2,"3,7",1.75
150,1486,115,0.07738896366083446,0.04825494243369465,0,,1.0
152,506,66,0.13043478260869565,0.04825494243369465,0,,1.0
154,583,89,0.15265866209262435,0.04825494243369465,2,"3,17",1.59375
156,798,63,0.07894736842105263,0.04825494243369465,2,"5,31",1.2916666666666667
158,306,35,0.11437908496732026,0.04825494243369465,0,,1.0
160,360,60,0.16666666666666666,0.04825494243369465,2,"3,53",1.5288461538461537
162,534,41,0.07677902621722846,0.04825494243369465,2,"7,23",1.2196969696969697
164,247,46,0.1862348178137652,0.04825494243369465,0,,1.0
166,182,30,0.16483516483516483,0.04825494243369465,3,"3,5,11",2.0625
168,443,30,0.06772009029345373,0.04825494243369465,0,,1.0
170,198,23,0.11616161616161616,0.04825494243369465,1,13,1.0833333333333333
172,158,19,0.12025316455696203,0.04825494243369465,2,"3,19",1.5833333333333335
174,255,29,0.11372549019607843,0.04825494243369465,0,,1.0
176,128,30,0.234375,0.04825494243369465,2,"5,7",1.4583333333333335
