bin_start,bin_end,prime_count_p,prime_count_s,ratio_s_p,gap_2_rate,gap_4_rate,gap_6_rate,gap_12_rate,gap_30_rate,gap_34_rate,gap_56_rate
0,19999999,1270607,103611,0.08154449015313153,0.134628096865195,0.19923235681400062,0.12629478389003376,0.09227777327607163,0.0805041675137223,0.28524590163934427,0.267515923566879
20000000,39999999,1163047,85901,0.07385858009177618,0.12054260962997784,0.18204863603732951,0.11415645254443946,0.08412206340932576,0.07685255578909708,0.2657062543921293,0.2339667458432304
40000000,59999999,1128461,81022,0.07179867093324448,0.11727223912654376,0.1757728766731768,0.11128570170745088,0.08114110664369137,0.07335105313707534,0.2540439651596848,0.23249708284714118
60000000,79999999,1107267,77063,0.06959748642378036,0.11521534886020868,0.17170111287758347,0.10814053849230575,0.07934306928258839,0.07102719712294897,0.250888563662973,0.22883747178329572
80000000,99999999,1092073,75009,0.06868496886197169,0.1145545383074231,0.1710914828097477,0.10788952504411076,0.07708546956993788,0.07252259323212164,0.24285122254455035,0.22468608068394336
100000000,119999999,1080193,73346,0.06790082883336589,0.11295556017028346,0.16830708661417323,0.10690983817107629,0.0779139787144858,0.07183035714285714,0.24199610244988864,0.22158796056045668
120000000,139999999,1070551,71785,0.06705425523865748,0.1123539188012768,0.16833500607469232,0.1058666985617319,0.07447413303013076,0.07051733939738487,0.23983823428610598,0.22174462705436157
140000000,159999999,1062259,71116,0.06694789123933052,0.10994553157151503,0.16514381487889274,0.10535791608742223,0.07441826430557588,0.06904649009912167,0.23828446149630036,0.22753586710294488
160000000,179999999,1055927,70118,0.06640421165478295,0.10845316857127235,0.16625481996415575,0.1043912800959709,0.07477848101265823,0.06779007529710605,0.24096303369253855,0.21137393054856568
180000000,199999999,1048552,68864,0.0656753313140407,0.11091544451476212,0.16595546164295222,0.1035875523395894,0.07444070692508943,0.06880032848963205,0.23780908965326703,0.21230012300123002
200000000,219999999,1043603,68290,0.06543676091387242,0.10887051726064127,0.16368467916968113,0.10286318593082919,0.07277269656777072,0.06919764279238441,0.23818761258140503,0.205679012345679
220000000,239999999,1039004,67882,0.06533372345053531,0.10762168157122601,0.16356162846160321,0.10186088183757126,0.07259155081949478,0.06828672278034212,0.23649253217702526,0.20933625091174327
240000000,259999999,1034316,67128,0.06490086201895745,0.10796754437071036,0.16164182475158084,0.10121125189258108,0.07242092817026308,0.0671777193141613,0.2287392055267703,0.2065613608748481
260000000,279999999,1030209,66275,0.06433160649926374,0.10835626399007685,0.15986564710926893,0.1014247902235738,0.07167860764877156,0.06665599194821237,0.23405279076161672,0.2059300440120454
280000000,299999999,1026256,65826,0.06414189052244275,0.10638206370595488,0.1633730295708204,0.10111506754192605,0.07286754776294525,0.0631870015311136,0.227637218304991,0.21074582924435722
300000000,319999999,1022881,65581,0.06411400739675485,0.1079991911254911,0.16111208049787704,0.09982475445245956,0.07266788462603112,0.06790502856882696,0.23298555931734954,0.2112343639367477
320000000,339999999,1019399,65342,0.06409855218614105,0.10599420526185518,0.15955249068901303,0.09988037297412451,0.07098996722851678,0.06447783003790128,0.23324341149616104,0.2042755344418052
340000000,359999999,1016683,64410,0.06335308055706645,0.10706770457789484,0.16003276722107634,0.10094417077175698,0.07182653551131606,0.0681501768800639,0.22340647857889237,0.21018805046417519
360000000,379999999,1014085,64691,0.06379248287865416,0.1042311661506708,0.1577019642593413,0.10008093020183001,0.07122123973147744,0.06446167883211679,0.23039316945534669,0.20104562737642587
380000000,399999999,1010953,64154,0.06345893429269214,0.10566830986958002,0.15752755065766086,0.10027620390690843,0.0715445861681224,0.06480316581650158,0.2301808066759388,0.20033191085822666
400000000,419999999,1008153,63535,0.06302118825217998,0.10608654232595525,0.15777265630808118,0.09982750824778525,0.07077017615731258,0.06730900954381479,0.22511001100110012,0.2072155411655874
420000000,439999999,1006076,62978,0.0625976566382659,0.1053723944334946,0.15927772537393883,0.09811051394020827,0.07151689790917445,0.06410079551202465,0.23251470079557246,0.21199538638985005
440000000,459999999,1003993,62635,0.062385893128736956,0.10481654476367841,0.15865203714573833,0.09918002424568965,0.07159890918633972,0.06674884718988267,0.22284800445000696,0.20851757039795207
460000000,479999999,1001876,62792,0.06267442278285935,0.10368667080162776,0.15707278909517647,0.098612403756663,0.07055754134724793,0.06458629058107056,0.22366664324362306,0.200734956361966
480000000,499999999,999443,61976,0.06201053987070798,0.10260983566572152,0.15691561884562946,0.09744572158365261,0.07017985735056728,0.06529003710446867,0.22574858562163655,0.2095918837906387
500000000,519999999,996820,62378,0.06257699484360266,0.10533538677360821,0.15831620613534292,0.09766748957180557,0.07015291368820413,0.06324019776934575,0.22408420469496573,0.1958295557570263
520000000,539999999,995694,61934,0.06220184112789672,0.10450469684030743,0.15447465458940893,0.09917879613914177,0.06758713354105614,0.06554022988505748,0.23023511618314313,0.20341266277503367
